question,topic,key,coverage_status,lecture,notes
1,"Skewed bronchiolitis length of stay",C,covered,ebm_25_1,"Median for skewed data"
2,"Normally distributed continuous CBC measures",A,covered,ebm_25_1,"Mean for normal data"
3,"Fifth-percentile weight and standard deviations",A,covered,ebm_25_1,"Approximately 1-2 SD below mean"
4,"BMI and HbA1c variable type",A,covered,ebm_25_1,"Continuous variables"
5,"Income recorded in ordered bands",D,covered,ebm_25_1,"Ordinal variable"
6,"AKI test sensitivity",C,covered,ebm_25_1,"70 percent sensitivity"
7,"Eosinophilic esophagitis sensitivity and specificity",B,covered,ebm_25_1,"Source contains inconsistent denominators"
8,"Cross-sectional prolonged-QT screening",C,covered,ebm_25_1,"Prevalence"
9,"Celiac disease annual incidence",C,covered,ebm_25_1,"14 per 100000 per year"
10,"Stable cystinosis incidence with longer survival",C,covered,ebm_26_1,"Stable incidence; increased prevalence"
11,"Resident-attending agreement on depression screen",C,covered,ebm_25_2,"Inter-rater reliability"
12,"External validity of rural asthma RCT",B,covered,ebm_25_2,"Generalizability"
13,"Small eosinophilic esophagitis trial",C,covered,ebm_25_2,"Possible type II error"
14,"Small antiemetic trial negative; larger trial positive",C,deferred,,"Redundant with Q13 Q17 Q41 Q43"
15,"Skewed booth-attendee ages",B,covered,ebm_26_1,"Conventional t-test assumption not met"
16,"SOFA-BNP correlation r equals 0.80",B,covered,ebm_26_1,"r-squared equals 0.64; avoid causal attribution"
17,"Asthma RCT with 70 percent power",D,covered,ebm_25_2,"Beta equals 30 percent"
18,"Biological gradient and causal reasoning",A,covered,ebm_26_1,"Supports but does not prove causation"
19,"Rationale for PKU screening",C,deferred,,"Source key says mortality while critique says mortality unaffected and quality of life improves"
20,"Video-game use and BMI measured together",B,covered,ebm_26_1,"Cross-sectional design"
21,"Croup admission comparison p equals .01",B,covered,ebm_25_2,"Reject null when p is below alpha"
22,"Herbal asthma supplement causal effect",C,covered,ebm_26_1,"Randomized controlled trial"
23,"Eight pediatric HLH cases",B,covered,ebm_26_1,"Case series"
24,"Repeated saliva tests without reference standard",C,covered,ebm_26_1,"Precision"
25,"Diet versus statin with apparent allocation",C,covered,ebm_26_1,"Open-label trial; source critique also contains a control-design wording issue"
26,"Thumb-sucking and food allergy",A,covered,ebm_25_1,"Association not causation"
27,"Cross-sectional obecalp-pancreatitis relationship",C,deferred,,"Redundant with Q26 and Q18"
28,"Mean phosphorus across multiple groups",A,covered,ebm_25_2,"ANOVA"
29,"Joint erosion risk and NNT",B,covered,ebm_25_2,"NNT equals 5"
30,"Knee injury risk and NNT",B,covered,ebm_25_3,"NNT equals 10"
31,"Null hypothesis for UTI antibiotics",B,covered,ebm_25_3,"Same cure proportion"
32,"FEV1 in two independent groups",D,covered,ebm_25_3,"Student or unpaired t test"
33,"Growth chart exposure and infant weight gain",D,covered,ebm_25_3,"Unpaired t test"
34,"Asthma readmission proportions",B,covered,ebm_25_2,"Chi-square"
35,"Influenza prevalence by vaccination group",A,covered,ebm_25_3,"Chi-square"
36,"Respiratory compliance before and after furosemide",B,deferred,,"Source key says Pearson correlation; same-subject pre-post comparison and critique support paired t test"
37,"Time to EBV seroconversion",B,covered,ebm_25_2,"Survival analysis"
38,"Statistical versus clinical importance of bleeding difference",A,covered,ebm_25_3,"Absolute difference and clinical context"
39,"Interpretation of a 95 percent confidence interval",B,covered,ebm_25_2,"Interval for population mean; source uses imprecise certainty wording"
40,"Sibling matching in preterm outcomes study",B,covered,ebm_25_3,"Confounding"
41,"Small PDA treatment study",D,covered,ebm_25_3,"Type II error"
42,"Parent versus staff ranked preferences",C,covered,ebm_25_3,"Mann-Whitney U"
43,"Small lupus treatment trial",D,covered,ebm_25_3,"Type II error"
44,"Chemotherapy wait times after process change",D,covered,ebm_26_1,"Run chart"
